"source","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer"
"ibge","brazil_NA_porto walter","brazil_acre_porto walter",-8.516460948,-72.71462652,"county"
"ibge","brazil_NA_rodrigues alves","brazil_acre_rodrigues alves",-7.82281308,-73.24339787,"county"
"ibge","brazil_NA_santa rosa purus","brazil_acre_santa rosa purus",-9.422991694,-70.4074451,"county"
"ibge","brazil_NA_senador guiomard","brazil_acre_senador guiomard",-10.01111904,-67.40747587,"county"
"ibge","brazil_NA_sena madureira","brazil_acre_sena madureira",-9.854576543,-69.43882628,"county"
"ibge","brazil_NA_tarauaca","brazil_acre_tarauaca",-8.314280424,-71.54348817,"county"
"ibge","brazil_NA_xapuri","brazil_acre_xapuri",-10.54281834,-68.5729894,"county"
"ibge","brazil_NA_porto acre","brazil_acre_porto acre",-9.620392259,-67.70052831,"county"
"ibge","brazil_NA_alvaraes","brazil_amazonas_alvaraes",-3.701128363,-65.33080397,"county"
"ibge","brazil_NA_amatura","brazil_amazonas_amatura",-3.418368581,-68.28779424,"county"
"ibge","brazil_NA_anama","brazil_amazonas_anama",-3.502606263,-61.71674185,"county"
"ibge","brazil_NA_anori","brazil_amazonas_anori",-4.186667406,-62.07309407,"county"
"ibge","brazil_NA_apui","brazil_amazonas_apui",-7.75972024,-59.43139823,"county"
"ibge","brazil_NA_atalaia norte","brazil_amazonas_atalaia norte",-5.710436838,-71.74248909,"county"
"ibge","brazil_NA_autazes","brazil_amazonas_autazes",-3.788981689,-59.52880292,"county"
"ibge","brazil_NA_barcelos","brazil_amazonas_barcelos",-0.465216609,-63.43469746,"county"
"ibge","brazil_NA_barreirinha","brazil_amazonas_barreirinha",-3.129109554,-57.17243568,"county"
"ibge","brazil_NA_benjamin constant","brazil_amazonas_benjamin constant",-5.431016683,-70.27981915,"county"
"ibge","brazil_NA_beruri","brazil_amazonas_beruri",-4.603478122,-61.78745129,"county"
"ibge","brazil_NA_boa vista ramos","brazil_amazonas_boa vista ramos",-2.986854,-57.563472,"county"
"ibge","brazil_NA_boca acre","brazil_amazonas_boca acre",-8.760441724,-68.08975685,"county"
"ibge","brazil_NA_borba","brazil_amazonas_borba",-4.956915355,-59.53441571,"county"
"ibge","brazil_NA_caapiranga","brazil_amazonas_caapiranga",-3.081994093,-61.87758613,"county"
"ibge","brazil_NA_canutama","brazil_amazonas_canutama",-7.40327598,-64.09662553,"county"
"ibge","brazil_NA_carauari","brazil_amazonas_carauari",-5.118801269,-67.33761862,"county"
"ibge","brazil_NA_careiro","brazil_amazonas_careiro",-3.77063578,-60.18309342,"county"
"ibge","brazil_NA_careiro varzea","brazil_amazonas_careiro varzea",-3.286234159,-59.59952002,"county"
"ibge","brazil_NA_coari","brazil_amazonas_coari",-4.437225836,-64.12471085,"county"
"ibge","brazil_NA_codajas","brazil_amazonas_codajas",-3.28904067,-62.97277007,"county"
"ibge","brazil_NA_eirunepe","brazil_amazonas_eirunepe",-7.063653186,-70.2792599,"county"
"ibge","brazil_NA_envira","brazil_amazonas_envira",-7.766315931,-70.20478827,"county"
"ibge","brazil_NA_fonte boa","brazil_amazonas_fonte boa",-2.492245115,-66.35861849,"county"
"ibge","brazil_NA_guajara","brazil_amazonas_guajara",-7.271893117,-72.83217012,"county"
"ibge","brazil_NA_ipixuna","brazil_amazonas_ipixuna",-7.242718105,-71.45848949,"county"
"ibge","brazil_NA_iranduba","brazil_amazonas_iranduba",-3.095160768,-60.48070739,"county"
"ibge","brazil_NA_itacoatiara","brazil_amazonas_itacoatiara",-3.174668894,-58.77722631,"county"
"ibge","brazil_NA_itamarati","brazil_amazonas_itamarati",-6.682868821,-68.1144199,"county"
"ibge","brazil_NA_jurua","brazil_amazonas_jurua",-3.524632479,-66.30707191,"county"
"ibge","brazil_NA_jutai","brazil_amazonas_jutai",-4.713082043,-68.40430631,"county"
"ibge","brazil_NA_labrea","brazil_amazonas_labrea",-8.375705419,-65.81228323,"county"
"ibge","brazil_NA_manacapuru","brazil_amazonas_manacapuru",-3.291577018,-60.95829918,"county"
"ibge","brazil_NA_manaquiri","brazil_amazonas_manaquiri",-3.779396087,-60.69735401,"county"
"ibge","brazil_NA_manaus","brazil_amazonas_manaus",-2.625919383,-60.25962801,"county"
"ibge","brazil_NA_manicore","brazil_amazonas_manicore",-6.459809609,-61.44652275,"county"
"ibge","brazil_NA_maraa","brazil_amazonas_maraa",-2.428444661,-65.03827635,"county"
"ibge","brazil_NA_maues","brazil_amazonas_maues",-4.984584196,-58.06099983,"county"
"ibge","brazil_NA_nhamunda","brazil_amazonas_nhamunda",-1.680553681,-57.65628741,"county"
"ibge","brazil_NA_nova olinda norte","brazil_amazonas_nova olinda norte",-3.988338881,-58.60183903,"county"
"ibge","brazil_NA_novo airao","brazil_amazonas_novo airao",-2.047048619,-61.70191653,"county"
"ibge","brazil_NA_novo aripuana","brazil_amazonas_novo aripuana",-6.825017058,-60.47717494,"county"
"ibge","brazil_NA_parintins","brazil_amazonas_parintins",-2.68835772,-56.85395054,"county"
"ibge","brazil_NA_pauini","brazil_amazonas_pauini",-7.783080801,-68.24931239,"county"
"ibge","brazil_NA_presidente figueiredo","brazil_amazonas_presidente figueiredo",-1.372568079,-59.98879265,"county"
"ibge","brazil_NA_rio preto eva","brazil_amazonas_rio preto eva",-2.529910626,-59.63824079,"county"
"ibge","brazil_NA_santa isabel rio negro","brazil_amazonas_santa isabel rio negro",-0.318572311,-65.52223044,"county"
"ibge","brazil_NA_santo antonio ica","brazil_amazonas_santo antonio ica",-3.050662632,-69.08380594,"county"
"ibge","brazil_NA_sao gabriel cachoeira","brazil_amazonas_sao gabriel cachoeira",0.375435011,-68.0015387,"county"
"ibge","brazil_NA_sao paulo olivenca","brazil_amazonas_sao paulo olivenca",-4.497851747,-69.45122456,"county"
"ibge","brazil_NA_sao sebastiao uatuma","brazil_amazonas_sao sebastiao uatuma",-2.535505,-57.872599,"county"
"ibge","brazil_NA_silves","brazil_amazonas_silves",-2.822149137,-58.5361563,"county"
"ibge","brazil_NA_tapaua","brazil_amazonas_tapaua",-6.104516926,-64.89416304,"county"
"ibge","brazil_NA_tefe","brazil_amazonas_tefe",-4.468380629,-65.52935009,"county"
"ibge","brazil_NA_tonantins","brazil_amazonas_tonantins",-2.855718,-67.78792,"county"
"ibge","brazil_NA_uarini","brazil_amazonas_uarini",-3.167091731,-65.41207894,"county"
"ibge","brazil_NA_urucara","brazil_amazonas_urucara",-0.893905373,-59.0299145,"county"
"ibge","brazil_NA_urucurituba","brazil_amazonas_urucurituba",-2.812290573,-57.77021261,"county"
"ibge","brazil_NA_amajari","brazil_roraima_amajari",3.731869341,-62.43634724,"county"
"ibge","brazil_NA_canta","brazil_roraima_canta",2.272877157,-60.54216369,"county"
"ibge","brazil_NA_caracarai","brazil_roraima_caracarai",0.991308804,-61.47087293,"county"
"ibge","brazil_NA_caroebe","brazil_roraima_caroebe",0.914976316,-59.33832978,"county"
"ibge","brazil_NA_mucajai","brazil_roraima_mucajai",2.186650406,-62.46906474,"county"
"ibge","brazil_NA_normandia","brazil_roraima_normandia",3.878648378,-60.06379508,"county"
"ibge","brazil_NA_pacaraima","brazil_roraima_pacaraima",4.16884269,-60.84432502,"county"
"ibge","brazil_NA_rorainopolis","brazil_roraima_rorainopolis",0.037756951,-61.01049134,"county"
"ibge","brazil_NA_sao joao baliza","brazil_roraima_sao joao baliza",0.635691766,-59.84485675,"county"
"ibge","brazil_NA_sao luiz","brazil_roraima_sao luiz",0.884365366,-60.15174559,"county"
"ibge","brazil_NA_uiramuta","brazil_roraima_uiramuta",4.682422958,-60.27640857,"county"
"ibge","brazil_NA_abaetetuba","brazil_para_abaetetuba",-1.730313589,-48.8830317,"county"
"ibge","brazil_NA_abel figueiredo","brazil_para_abel figueiredo",-4.957409066,-48.42456042,"county"
"ibge","brazil_NA_acara","brazil_para_acara",-2.03550039,-48.41145336,"county"
"ibge","brazil_NA_afua","brazil_para_afua",-0.263832842,-50.72766238,"county"
"ibge","brazil_NA_agua azul norte","brazil_para_agua azul norte",-6.772813774,-50.46043672,"county"
"ibge","brazil_NA_alenquer","brazil_para_alenquer",-0.536319939,-55.06987507,"county"
"ibge","brazil_NA_almeirim","brazil_para_almeirim",0.284478936,-53.89358505,"county"
"ibge","brazil_NA_altamira","brazil_para_altamira",-6.482663544,-53.88503765,"county"
"ibge","brazil_NA_anajas","brazil_para_anajas",-0.827067556,-49.96205838,"county"
"ibge","brazil_NA_ananindeua","brazil_para_ananindeua",-1.336392801,-48.38265929,"county"
"ibge","brazil_NA_anapu","brazil_para_anapu",-3.997318049,-51.30115308,"county"
"ibge","brazil_NA_augusto correa","brazil_para_augusto correa",-1.109704732,-46.50770522,"county"
"ibge","brazil_NA_aurora para","brazil_para_aurora para",-2.231224505,-47.72640094,"county"
"ibge","brazil_NA_aveiro","brazil_para_aveiro",-3.667183483,-56.01646326,"county"
"ibge","brazil_NA_bagre","brazil_para_bagre",-2.373143109,-50.18176698,"county"
"ibge","brazil_NA_baiao","brazil_para_baiao",-3.129223787,-49.6988214,"county"
"ibge","brazil_NA_bannach","brazil_para_bannach",-7.486311448,-50.63414664,"county"
"ibge","brazil_NA_barcarena","brazil_para_barcarena",-1.498574063,-48.6339466,"county"
"ibge","brazil_NA_belterra","brazil_para_belterra",-3.191151381,-54.9928261,"county"
"ibge","brazil_NA_benevides","brazil_para_benevides",-1.339632647,-48.27541312,"county"
"ibge","brazil_NA_braganca","brazil_para_braganca",-1.197963728,-46.76541096,"county"
"ibge","brazil_NA_brasil novo","brazil_para_brasil novo",-3.292106289,-52.68540476,"county"
"ibge","brazil_NA_brejo grande araguaia","brazil_para_brejo grande araguaia",-5.716168888,-48.41787139,"county"
"ibge","brazil_NA_breu branco","brazil_para_breu branco",-3.733472215,-49.37087747,"county"
"ibge","brazil_NA_breves","brazil_para_breves",-1.121378987,-50.62850807,"county"
"ibge","brazil_NA_bujaru","brazil_para_bujaru",-1.634158171,-48.08886367,"county"
"ibge","brazil_NA_cachoeira piria","brazil_para_cachoeira piria",-1.988937278,-46.44093788,"county"
"ibge","brazil_NA_cachoeira arari","brazil_para_cachoeira arari",-0.869037946,-48.87763087,"county"
"ibge","brazil_NA_cameta","brazil_para_cameta",-2.253102457,-49.51357056,"county"
"ibge","brazil_NA_canaa carajas","brazil_para_canaa carajas",-6.424125051,-50.08589156,"county"
"ibge","brazil_NA_capitao poco","brazil_para_capitao poco",-2.043743419,-47.23414713,"county"
"ibge","brazil_NA_castanhal","brazil_para_castanhal",-1.269026663,-47.87682619,"county"
"ibge","brazil_NA_chaves","brazil_para_chaves",-0.019981267,-49.83526541,"county"
"ibge","brazil_NA_colares","brazil_para_colares",-0.903987691,-48.28467766,"county"
"ibge","brazil_NA_conceicao araguaia","brazil_para_conceicao araguaia",-8.182563637,-49.51260261,"county"
"ibge","brazil_NA_concordia para","brazil_para_concordia para",-1.883874052,-47.97474125,"county"
"ibge","brazil_NA_cumaru norte","brazil_para_cumaru norte",-8.458290647,-51.22098299,"county"
"ibge","brazil_NA_curionopolis","brazil_para_curionopolis",-6.229150895,-49.62452883,"county"
"ibge","brazil_NA_curralinho","brazil_para_curralinho",-1.583550921,-49.98802314,"county"
"ibge","brazil_NA_curua","brazil_para_curua",-1.845889104,-55.11315727,"county"
"ibge","brazil_NA_curuca","brazil_para_curuca",-0.763848876,-47.86302258,"county"
"ibge","brazil_NA_dom eliseu","brazil_para_dom eliseu",-4.186592881,-47.89825426,"county"
"ibge","brazil_NA_eldorado carajas","brazil_para_eldorado carajas",-6.069517154,-49.2453685,"county"
"ibge","brazil_NA_faro","brazil_para_faro",-1.158762701,-57.80637585,"county"
"ibge","brazil_NA_floresta araguaia","brazil_para_floresta araguaia",-7.548297432,-49.57598024,"county"
"ibge","brazil_NA_garrafao norte","brazil_para_garrafao norte",-2.168057929,-47.07465492,"county"
"ibge","brazil_NA_goianesia para","brazil_para_goianesia para",-4.027439862,-49.00563609,"county"
"ibge","brazil_NA_gurupa","brazil_para_gurupa",-1.151838722,-51.55520191,"county"
"ibge","brazil_NA_igarape acu","brazil_para_igarape acu",-1.145178313,-47.56615033,"county"
"ibge","brazil_NA_igarape miri","brazil_para_igarape miri",-2.06278556,-49.13078081,"county"
"ibge","brazil_NA_inhangapi","brazil_para_inhangapi",-1.464991376,-47.92314502,"county"
"ibge","brazil_NA_ipixuna para","brazil_para_ipixuna para",-2.80601509,-47.9217033,"county"
"ibge","brazil_NA_irituia","brazil_para_irituia",-1.812349589,-47.39953686,"county"
"ibge","brazil_NA_itaituba","brazil_para_itaituba",-5.871237881,-56.49661754,"county"
"ibge","brazil_NA_itupiranga","brazil_para_itupiranga",-5.114846345,-49.86966664,"county"
"ibge","brazil_NA_jacareacanga","brazil_para_jacareacanga",-7.444795293,-57.30303465,"county"
"ibge","brazil_NA_jacunda","brazil_para_jacunda",-4.598464541,-49.18115736,"county"
"ibge","brazil_NA_juruti","brazil_para_juruti",-2.622695441,-56.22118394,"county"
"ibge","brazil_NA_limoeiro ajuru","brazil_para_limoeiro ajuru",-1.864258541,-49.46910852,"county"
"ibge","brazil_NA_mae rio","brazil_para_mae rio",-1.99115537,-47.51258039,"county"
"ibge","brazil_NA_magalhaes barata","brazil_para_magalhaes barata",-0.810665336,-47.63544958,"county"
"ibge","brazil_NA_maraba","brazil_para_maraba",-5.631531319,-50.01942693,"county"
"ibge","brazil_NA_maracana","brazil_para_maracana",-0.847413738,-47.50424076,"county"
"ibge","brazil_NA_marapanim","brazil_para_marapanim",-0.865589772,-47.70815426,"county"
"ibge","brazil_NA_marituba","brazil_para_marituba",-1.397389753,-48.31987251,"county"
"ibge","brazil_NA_medicilandia","brazil_para_medicilandia",-3.160214196,-53.19488995,"county"
"ibge","brazil_NA_melgaco","brazil_para_melgaco",-1.313246456,-51.07596268,"county"
"ibge","brazil_NA_mocajuba","brazil_para_mocajuba",-2.576522824,-49.46571918,"county"
"ibge","brazil_NA_moju","brazil_para_moju",-2.684052845,-49.07397116,"county"
"ibge","brazil_NA_mojui campos","brazil_para_mojui campos",-3.070440006,-54.57515313,"county"
"ibge","brazil_NA_muana","brazil_para_muana",-1.355511159,-49.30941146,"county"
"ibge","brazil_NA_nova esperanca piria","brazil_para_nova esperanca piria",-2.392516201,-46.8995021,"county"
"ibge","brazil_NA_nova ipixuna","brazil_para_nova ipixuna",-4.979156317,-49.22544423,"county"
"ibge","brazil_NA_nova timboteua","brazil_para_nova timboteua",-1.156400401,-47.39216824,"county"
"ibge","brazil_NA_novo progresso","brazil_para_novo progresso",-8.062514043,-55.6120726,"county"
"ibge","brazil_NA_novo repartimento","brazil_para_novo repartimento",-4.502742346,-50.27161853,"county"
"ibge","brazil_NA_obidos","brazil_para_obidos",-0.170400608,-55.67495314,"county"
"ibge","brazil_NA_oeiras para","brazil_para_oeiras para",-2.278941472,-49.9022855,"county"
"ibge","brazil_NA_oriximina","brazil_para_oriximina",0.25418437,-57.14971172,"county"
"ibge","brazil_NA_ourem","brazil_para_ourem",-1.496057428,-47.13948441,"county"
"ibge","brazil_NA_ourilandia norte","brazil_para_ourilandia norte",-7.554417173,-51.45074735,"county"
"ibge","brazil_NA_pacaja","brazil_para_pacaja",-3.684007162,-50.63142917,"county"
"ibge","brazil_NA_palestina para","brazil_para_palestina para",-5.926895342,-48.37021726,"county"
"ibge","brazil_NA_paragominas","brazil_para_paragominas",-3.20341147,-47.60353852,"county"
"ibge","brazil_NA_parauapebas","brazil_para_parauapebas",-6.158352242,-50.50063031,"county"
"ibge","brazil_NA_peixe boi","brazil_para_peixe boi",-1.130492496,-47.27191463,"county"
"ibge","brazil_NA_picarra","brazil_para_picarra",-6.540880027,-49.01179049,"county"
"ibge","brazil_NA_placas","brazil_para_placas",-3.890005549,-54.50058463,"county"
"ibge","brazil_NA_ponta pedras","brazil_para_ponta pedras",-1.117717107,-49.07707132,"county"
"ibge","brazil_NA_portel","brazil_para_portel",-2.565501589,-50.95552458,"county"
"ibge","brazil_NA_porto moz","brazil_para_porto moz",-2.184594927,-52.54794507,"county"
"ibge","brazil_NA_prainha","brazil_para_prainha",-2.260366849,-53.6448904,"county"
"ibge","brazil_NA_quatipuru","brazil_para_quatipuru",-0.864949969,-47.01532625,"county"
"ibge","brazil_NA_rio maria","brazil_para_rio maria",-7.340691297,-49.89526536,"county"
"ibge","brazil_NA_rondon para","brazil_para_rondon para",-4.516986717,-48.45992975,"county"
"ibge","brazil_NA_ruropolis","brazil_para_ruropolis",-4.241007585,-55.21081868,"county"
"ibge","brazil_NA_salinopolis","brazil_para_salinopolis",-0.685378157,-47.3529892,"county"
"ibge","brazil_NA_salvaterra","brazil_para_salvaterra",-0.801026707,-48.60887447,"county"
"ibge","brazil_NA_santa barbara para","brazil_para_santa barbara para",-1.194407108,-48.25038295,"county"
"ibge","brazil_NA_santa cruz arari","brazil_para_santa cruz arari",-0.583154169,-49.3142376,"county"
"ibge","brazil_NA_santa izabel para","brazil_para_santa izabel para",-1.365206765,-48.12930742,"county"
"ibge","brazil_NA_santa luzia para","brazil_para_santa luzia para",-1.655488074,-46.92718034,"county"
"ibge","brazil_NA_santa maria barreiras","brazil_para_santa maria barreiras",-8.633738671,-50.31443137,"county"
"ibge","brazil_NA_santa maria para","brazil_para_santa maria para",-1.374401856,-47.52149491,"county"
"ibge","brazil_NA_santana araguaia","brazil_para_santana araguaia",-9.363905131,-50.61117504,"county"
"ibge","brazil_NA_santarem","brazil_para_santarem",-2.603619,-54.664759,"county"
"ibge","brazil_NA_santarem novo","brazil_para_santarem novo",-0.913230984,-47.33279761,"county"
"ibge","brazil_NA_santo antonio taua","brazil_para_santo antonio taua",-1.093210675,-48.18283237,"county"
"ibge","brazil_NA_sao caetano odivelas","brazil_para_sao caetano odivelas",-0.768596837,-48.09011813,"county"
"ibge","brazil_NA_sao domingos araguaia","brazil_para_sao domingos araguaia",-5.657855557,-48.73046798,"county"
"ibge","brazil_NA_sao domingos capim","brazil_para_sao domingos capim",-1.883723455,-47.77171493,"county"
"ibge","brazil_NA_sao felix xingu","brazil_para_sao felix xingu",-7.233149983,-52.25265066,"county"
"ibge","brazil_NA_sao francisco para","brazil_para_sao francisco para",-1.206145796,-47.74670379,"county"
"ibge","brazil_NA_sao geraldo araguaia","brazil_para_sao geraldo araguaia",-6.18220362,-48.74348916,"county"
"ibge","brazil_NA_sao joao ponta","brazil_para_sao joao ponta",-0.870539333,-47.9644056,"county"
"ibge","brazil_NA_sao joao pirabas","brazil_para_sao joao pirabas",-0.785931938,-47.22166996,"county"
"ibge","brazil_NA_sao joao araguaia","brazil_para_sao joao araguaia",-5.447367187,-48.69683839,"county"
"ibge","brazil_NA_sao miguel guama","brazil_para_sao miguel guama",-1.552596152,-47.61125199,"county"
"ibge","brazil_NA_sao sebastiao boa vista","brazil_para_sao sebastiao boa vista",-1.433951756,-49.68019134,"county"
"ibge","brazil_NA_senador jose porfirio","brazil_para_senador jose porfirio",-4.326847745,-51.76316925,"county"
"ibge","brazil_NA_soure","brazil_para_soure",-0.487895463,-48.60205733,"county"
"ibge","brazil_NA_tailandia","brazil_para_tailandia",-2.90777593,-48.73659531,"county"
"ibge","brazil_NA_terra alta","brazil_para_terra alta",-1.003015319,-47.84850637,"county"
"ibge","brazil_NA_terra santa","brazil_para_terra santa",-1.952143477,-56.45834867,"county"
"ibge","brazil_NA_tome acu","brazil_para_tome acu",-2.636011703,-48.26750253,"county"
"ibge","brazil_NA_tracuateua","brazil_para_tracuateua",-1.039695428,-46.9378796,"county"
"ibge","brazil_NA_trairao","brazil_para_trairao",-5.130089502,-56.00342418,"county"
"ibge","brazil_NA_tucuma","brazil_para_tucuma",-6.820203803,-51.39140754,"county"
"ibge","brazil_NA_tucurui","brazil_para_tucurui",-3.855792528,-49.82076011,"county"
"ibge","brazil_NA_ulianopolis","brazil_para_ulianopolis",-3.809612114,-47.49391667,"county"
"ibge","brazil_NA_uruara","brazil_para_uruara",-3.58364455,-53.80725596,"county"
"ibge","brazil_NA_vigia","brazil_para_vigia",-0.864452406,-48.15411901,"county"
"ibge","brazil_NA_viseu","brazil_para_viseu",-1.524381531,-46.45178098,"county"
"ibge","brazil_NA_vitoria xingu","brazil_para_vitoria xingu",-3.150969746,-51.95559209,"county"
"ibge","brazil_NA_xinguara","brazil_para_xinguara",-6.84897,-49.25573,"county"
"ibge","brazil_NA_serra navio","brazil_amapa_serra navio",1.649595092,-52.2704484,"county"
"ibge","brazil_NA_amapa","brazil_amapa_amapa",2.045814,-50.797101,"county"
"ibge","brazil_NA_pedra branca amapari","brazil_amapa_pedra branca amapari",1.157959494,-52.52373578,"county"
"ibge","brazil_NA_calcoene","brazil_amapa_calcoene",2.423216316,-51.4067784,"county"
"ibge","brazil_NA_cutias","brazil_amapa_cutias",1.030315737,-50.48382462,"county"
"ibge","brazil_NA_ferreira gomes","brazil_amapa_ferreira gomes",0.958740406,-51.41916705,"county"
"ibge","brazil_NA_itaubal","brazil_amapa_itaubal",0.532167269,-50.65154325,"county"
"ibge","brazil_NA_laranjal jari","brazil_amapa_laranjal jari",1.090935418,-53.30337798,"county"
"ibge","brazil_NA_macapa","brazil_amapa_macapa",0.054909,-51.097275,"county"
"ibge","brazil_NA_mazagao","brazil_amapa_mazagao",-0.072918728,-51.94392836,"county"
"ibge","brazil_NA_oiapoque","brazil_amapa_oiapoque",3.084639025,-51.91311847,"county"
